N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,LG이노텍,"220,000","4,500",-2.00%,"5,000","52,068","23,667",32.64,"514,402",39.88,4.73,
60,아모레G,"62,900",800,-1.26%,500,"51,866","82,458",20.03,"155,557",222.26,4.12,
61,한국금융지주,"89,800","2,900",+3.34%,"5,000","50,042","55,726",30.51,"842,035",8.22,18.14,
62,유한양행,"70,900",500,-0.70%,"1,000","49,611","69,973",20.19,"416,008",27.31,2.43,
63,두산중공업,"13,150",150,-1.13%,"5,000","49,265","374,637",10.72,"1,912,786",-2.84,-14.73,
64,한미약품,"405,000","27,000",+7.14%,"2,500","48,917","12,078",13.74,"707,886","-3,932.04",7.30,
65,오리온,"123,500",500,+0.41%,500,"48,827","39,536",42.08,"87,928",17.84,14.24,
66,SK케미칼,"412,500","27,000",-6.14%,"5,000","48,433","11,741",21.62,"648,906",18.82,1.51,
67,SKC,"127,500","2,500",-1.92%,"5,000","48,282","37,868",8.07,"677,842",56.59,3.86,
68,현대건설,"43,250",750,-1.70%,"5,000","48,161","111,356",18.83,"886,166",21.09,6.30,
69,이마트,"171,000","3,500",-2.01%,"5,000","47,668","27,876",31.40,"358,924",8.54,2.76,
70,신풍제약,"89,600","2,900",-3.14%,500,"47,475","52,985",11.27,"1,534,355","2,488.89",0.80,
71,HMM,"14,100",50,+0.36%,"5,000","46,068","326,726",7.21,"4,635,260",-45.48,-55.46,
72,삼성중공업,"6,700",70,-1.03%,"5,000","42,210","630,000",15.16,"3,568,013",-3.38,-21.88,
73,한진칼,"63,200",200,-0.32%,"2,500","41,878","66,263",15.36,"59,120",-10.42,-17.56,
74,현대차2우B,"112,000","3,000",-2.61%,"5,000","40,864","36,485",60.75,"147,548",26.76,N/A,
75,맥쿼리인프라,"10,800",0,0.00%,0,"40,197","372,192",13.79,"746,467",N/A,N/A,
76,현대중공업지주,"254,000","7,000",-2.68%,"5,000","40,128","15,799",17.77,"95,244",-15.39,2.20,
77,두산퓨얼셀,"61,200",800,+1.32%,100,"40,082","65,494",19.54,"1,414,218",179.47,N/A,
78,CJ대한통운,"169,000",500,-0.29%,"5,000","38,553","22,812",21.29,"80,590",30.47,1.41,
79,키움증권,"150,500","2,500",+1.69%,"5,000","38,440","25,542",21.71,"367,926",6.64,16.97,
80,LG화학우,"485,500","10,000",-2.02%,"5,000","37,329","7,689",63.22,"80,098",45.36,N/A,
81,삼성카드,"32,000",250,+0.79%,"5,000","37,075","115,859",10.79,"141,227",9.00,5.04,
82,롯데지주,"34,850",300,-0.85%,200,"36,561","104,909",11.31,"204,926",-5.10,-5.21,
83,삼성증권,"40,750",350,+0.87%,"5,000","36,390","89,300",26.22,"687,738",7.74,8.15,
84,만도,"76,000",700,-0.91%,"1,000","35,687","46,957",25.87,"601,560",-64.35,7.55,
85,GS,"37,900",200,-0.52%,"5,000","35,215","92,915",19.23,"244,007",-41.11,6.26,
86,두산밥캣,"33,900",700,+2.11%,500,"33,984","100,249",22.07,"1,127,241",18.34,7.05,
87,쌍용양회,"6,670",60,-0.89%,100,"33,607","503,860",3.09,"1,191,681",26.79,7.02,
88,GS건설,"41,150",350,-0.84%,"5,000","33,243","80,785",26.86,"891,148",10.77,11.79,
89,호텔신라,"83,700","1,800",-2.11%,"5,000","32,851","39,248",20.03,"950,525",-25.40,20.16,
90,NH투자증권,"11,550",50,+0.43%,"5,000","32,503","281,409",15.29,"1,076,980",5.61,9.12,
91,에스원,"85,500",800,+0.94%,500,"32,489","37,999",56.36,"63,658",22.50,11.32,
92,롯데쇼핑,"112,500","2,000",-1.75%,"5,000","31,825","28,289",11.69,"141,084",-2.37,-8.14,
93,한국항공우주,"32,350",950,-2.85%,"5,000","31,533","97,475",14.06,"1,090,620",23.82,15.84,
94,더존비즈온,"104,000",500,-0.48%,500,"31,335","30,130",46.14,"227,959",64.64,18.78,
95,한국가스공사,"33,800",550,-1.60%,"5,000","31,202","92,313",8.93,"405,645",-6.22,0.48,
96,일진머티리얼즈,"67,500","1,500",+2.27%,500,"31,125","46,111",8.91,"794,563",70.02,8.52,
97,CJ,"104,000",500,-0.48%,"5,000","30,344","29,177",20.31,"107,882",17.28,6.24,
98,TIGER 200,"42,880",145,-0.34%,0,"30,037","70,050",0.96,"1,065,647",N/A,N/A,
99,동서,"30,050","1,000",-3.22%,500,"29,960","99,700",4.25,"302,997",21.67,10.53,
100,대웅,"50,600","2,100",-3.98%,500,"29,420","58,142",5.21,"451,046",58.29,10.43,
101,DB하이텍,"66,200","1,100",-1.63%,"5,000","29,392","44,399",24.14,"1,411,174",17.86,17.40,
102,현대차우,"120,500",500,+0.42%,"5,000","29,350","24,357",54.53,"215,123",28.79,N/A,
103,씨에스윈드,"166,000",0,0.00%,500,"28,694","17,286",9.13,"146,286",57.88,9.92,
104,대우조선해양,"26,600",400,-1.48%,"5,000","28,539","107,291",9.30,"245,969",16.37,-1.22,
105,현대오토에버,"135,000","1,500",-1.10%,500,"28,350","21,000",0.99,"94,815",49.32,11.71,
106,휠라홀딩스,"45,950",100,+0.22%,"1,000","27,916","60,752",48.24,"312,747",15.49,23.81,
107,GS리테일,"35,900",150,-0.42%,"1,000","27,643","77,000",14.96,"266,229",16.36,6.25,
108,DB손해보험,"38,950",850,-2.14%,500,"27,577","70,800",40.85,"317,523",4.96,6.92,
109,BGF리테일,"158,000","2,500",-1.56%,"1,000","27,309","17,284",31.90,"53,683",20.87,26.46,
110,한화,"35,100",750,-2.09%,"5,000","26,311","74,959",19.68,"864,162",14.30,2.09,
111,팬오션,"4,910",45,-0.91%,"1,000","26,247","534,570",11.53,"2,729,255",19.41,5.49,
112,삼성엔지니어링,"13,300",0,0.00%,"5,000","26,068","196,000",24.50,"1,195,124",10.21,24.62,
113,현대위아,"95,000","4,900",-4.90%,"5,000","25,835","27,195",10.64,"1,412,885",20.53,1.80,
114,대우건설,"6,070",90,-1.46%,"5,000","25,228","415,623",8.02,"3,428,384",13.11,8.80,
115,한화생명,"2,840",55,-1.90%,"5,000","24,666","868,530",7.18,"3,576,028",10.80,0.51,
116,OCI,"103,000","3,000",-2.83%,"5,000","24,565","23,849",20.04,"253,464",-3.33,-26.20,
117,메리츠증권,"3,555",25,+0.71%,"1,000","24,030","675,962",13.30,"1,704,317",4.45,15.06,
118,신세계,"243,500","4,500",-1.81%,"5,000","23,973","9,845",24.75,"125,016",-7.82,14.24,
119,종근당,"207,000","1,000",+0.49%,"2,500","23,652","11,426",12.89,"145,211",24.56,11.94,
120,하이트진로,"33,600",100,-0.30%,"5,000","23,565","70,134",8.55,"345,566",31.76,-3.86,
121,한솔케미칼,"208,000","4,000",+1.96%,"5,000","23,494","11,295",40.21,"104,655",20.01,20.88,
122,제일기획,"20,400",400,+2.00%,200,"23,468","115,041",32.78,"682,106",17.29,15.09,
123,한샘,"99,000",200,-0.20%,"1,000","23,299","23,534",23.09,"49,956",34.76,7.32,
124,녹십자홀딩스,"49,000",450,-0.91%,500,"23,044","47,028",7.91,"986,639",46.31,0.37,
125,DL이앤씨,"117,500","9,000",-7.11%,"5,000","22,747","19,359",31.19,"1,075,835",N/A,N/A,
126,LS,"70,400",300,-0.42%,"5,000","22,669","32,200",13.62,"300,046",-977.78,0.80,
127,현대로템,"20,650",750,-3.50%,"5,000","22,538","109,142",4.41,"2,292,078",-11.73,-37.93,
128,한화에어로스페이스,"42,600","2,000",-4.48%,"5,000","21,568","50,630",18.27,"1,342,539",29.87,5.45,
129,오뚜기,"582,000","8,000",+1.39%,"5,000","21,371","3,672",16.45,"6,808",19.66,7.79,
130,KODEX 200선물인버스2X,"2,085",15,+0.72%,0,"21,284","1,020,800",3.51,"497,323,992",N/A,N/A,
131,LS ELECTRIC,"67,300",0,0.00%,"5,000","20,190","30,000",14.44,"151,642",25.93,7.82,
132,포스코인터내셔널,"16,200",200,+1.25%,"5,000","19,987","123,375",10.87,"946,425",8.94,7.06,
133,한화시스템,"17,600",150,-0.85%,"5,000","19,401","110,230",6.75,"1,674,564",24.93,8.15,
134,메리츠화재,"16,000",50,+0.31%,500,"19,300","120,625",10.47,"427,447",4.69,12.80,
135,HDC현대산업개발,"28,950",800,-2.69%,"5,000","19,080","65,907",10.76,"917,698",7.18,20.30,
